prompt,model,status,overall_score,model_score,hard_score,approvals,iterations,critical_count,major_count,deadline_violations,task_coverage,availability_overrun,stop_reason,json_path,ics_path,error
01_urgent_mixed_deadlines.txt,deepseek/deepseek-v3.2,ok,2.8,2.5,3.1,2,3,6,4,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/01_urgent_mixed_deadlines.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/01_urgent_mixed_deadlines.ics,
02_wellbeing_low_energy.txt,deepseek/deepseek-v3.2,ok,3.1,3,3.2,3,3,3,4,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/02_wellbeing_low_energy.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/02_wellbeing_low_energy.ics,
03_grade_weighted_priorities.txt,deepseek/deepseek-v3.2,ok,2.8,2.8,2.9,2,3,4,7,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/03_grade_weighted_priorities.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/03_grade_weighted_priorities.ics,
04_group_project_coordination.txt,deepseek/deepseek-v3.2,ok,2.7,2.5,2.8,1,3,4,10,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/04_group_project_coordination.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/04_group_project_coordination.ics,
05_fixed_commitments_busy_week.txt,deepseek/deepseek-v3.2,ok,3.2,2.8,3.6,4,3,2,1,1,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/05_fixed_commitments_busy_week.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/05_fixed_commitments_busy_week.ics,
06_uncertain_scope_hidden_work.txt,deepseek/deepseek-v3.2,ok,2.9,2.5,3.2,3,3,0,7,2,1,0.5,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/06_uncertain_scope_hidden_work.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/06_uncertain_scope_hidden_work.ics,
07_exam_week_revision.txt,deepseek/deepseek-v3.2,ok,4.3,4.2,4.4,5,2,0,0,0,1,0.3,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/07_exam_week_revision.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/07_exam_week_revision.ics,
08_part_time_job_commute.txt,deepseek/deepseek-v3.2,ok,3.1,3,3.2,3,3,2,4,1,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/08_part_time_job_commute.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/08_part_time_job_commute.ics,
09_no_deadlines_self_study.txt,deepseek/deepseek-v3.2,ok,4.3,4.2,4.4,5,2,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/09_no_deadlines_self_study.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/09_no_deadlines_self_study.ics,
10_overloaded_impossible_week.txt,deepseek/deepseek-v3.2,error,,,,,,,,,,,,,,Invalid time value
11_short_two_day_crunch.txt,deepseek/deepseek-v3.2,ok,4.4,4.2,4.6,5,2,0,0,0,1,0,Accepted by 5/5 agents with no critical critiques.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/11_short_two_day_crunch.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/11_short_two_day_crunch.ics,
12_long_term_capstone.txt,deepseek/deepseek-v3.2,ok,2.8,2.5,3,4,3,2,3,4,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/12_long_term_capstone.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/12_long_term_capstone.ics,
13_conflicting_preferences.txt,deepseek/deepseek-v3.2,ok,3.4,3,3.8,4,3,1,2,0,1,2,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/13_conflicting_preferences.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/13_conflicting_preferences.ics,
14_many_small_tasks.txt,deepseek/deepseek-v3.2,ok,3.4,3.2,3.5,3,3,2,3,0,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/14_many_small_tasks.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/14_many_small_tasks.ics,
15_missed_start_recovery.txt,deepseek/deepseek-v3.2,ok,3.3,2.8,3.7,4,3,2,1,1,1,0,Maximum iterations reached. Selected best available calendar.,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/15_missed_start_recovery.json,/home/dan1e1/Desktop/AASMA/Projeto/results/deepseek-v3.2/runs/15_missed_start_recovery.ics,
